,noun_id,noun_name,noun_frequency,pd_no,subcate_no,category_no
0,0,준비,336,0,소파,거실가구
1,1,소파,209,0,소파,거실가구
2,2,제일,322,0,소파,거실가구
3,3,먼저,121,0,소파,거실가구
4,4,장바구니,303,0,소파,거실가구
5,5,구매,42,0,소파,거실가구
6,6,큰일,377,0,소파,거실가구
7,7,기사,57,0,소파,거실가구
8,8,조립,324,0,소파,거실가구
9,9,클리,379,0,소파,거실가구
10,10,신경,220,0,소파,거실가구
11,11,사용,179,0,소파,거실가구
12,12,성비,201,0,소파,거실가구
13,13,금액,52,0,소파,거실가구
14,14,클라이너,378,0,소파,거실가구
15,15,요조,268,0,소파,거실가구
16,16,언급,245,0,소파,거실가구
17,17,배송,142,0,소파,거실가구
18,18,어쩜,244,0,소파,거실가구
19,19,리뷰,108,0,소파,거실가구
20,20,아마,230,0,소파,거실가구
21,21,주의,334,0,소파,거실가구
22,22,점도,311,0,소파,거실가구
23,23,얘기,241,0,소파,거실가구
24,24,약속,239,0,소파,거실가구
25,25,생각,192,0,소파,거실가구
26,26,대로,83,0,소파,거실가구
27,27,유의,276,0,소파,거실가구
28,28,냄새,71,0,소파,거실가구
29,29,작동,300,0,소파,거실가구
30,30,소리,205,0,소파,거실가구
31,31,상자,185,0,소파,거실가구
32,32,흠집,420,0,소파,거실가구
33,33,미리,135,0,소파,거실가구
34,34,주문,331,0,소파,거실가구
35,35,일정,291,0,소파,거실가구
36,36,지연,340,0,소파,거실가구
37,37,상품,188,0,소파,거실가구
38,38,홈바,410,0,소파,거실가구
39,39,세상,203,0,소파,거실가구
40,40,기능,53,0,소파,거실가구
41,41,고장,36,0,소파,거실가구
42,42,추천,364,0,소파,거실가구
43,43,사이즈,180,0,소파,거실가구
44,44,색상,191,0,소파,거실가구
45,45,홀더,409,0,소파,거실가구
46,46,나사,66,0,소파,거실가구
47,47,부분,159,0,소파,거실가구
48,48,전체,309,0,소파,거실가구
49,49,마음,112,0,소파,거실가구
50,50,쿠션,373,0,소파,거실가구
51,51,정도,313,0,소파,거실가구
52,52,치가,366,0,소파,거실가구
53,53,요리,266,0,소파,거실가구
54,54,한번,401,0,소파,거실가구
55,55,요즘,269,0,소파,거실가구
56,56,시기,217,0,소파,거실가구
57,57,넷플릭스,74,0,소파,거실가구
58,58,영화,254,0,소파,거실가구
59,59,힐링,421,0,소파,거실가구
60,60,인용,286,0,소파,거실가구
61,61,선택,197,0,소파,거실가구
62,62,크기,376,0,소파,거실가구
63,63,편이,391,0,소파,거실가구
64,64,개인,20,0,소파,거실가구
65,65,만족,115,0,소파,거실가구
66,66,가격,0,0,소파,거실가구
67,67,대비,85,0,소파,거실가구
68,68,일주일,292,0,소파,거실가구
69,69,그냥,49,0,소파,거실가구
70,70,제품,323,0,소파,거실가구
71,71,퀄리티,374,0,소파,거실가구
72,72,일부,289,0,소파,거실가구
73,73,밸런스,146,0,소파,거실가구
74,74,사진,182,0,소파,거실가구
75,75,설치,200,0,소파,거실가구
76,76,왁스,264,0,소파,거실가구
77,77,내부,70,0,소파,거실가구
78,78,나무,65,0,소파,거실가구
79,79,타카,381,0,소파,거실가구
80,80,디자인,97,0,소파,거실가구
81,81,팔걸이,389,0,소파,거실가구
82,82,지퍼,342,0,소파,거실가구
83,83,고정,37,0,소파,거실가구
84,84,배송비,143,0,소파,거실가구
85,85,추가,363,0,소파,거실가구
86,86,이미지,279,0,소파,거실가구
87,87,차이,346,0,소파,거실가구
88,88,택배,382,0,소파,거실가구
89,89,정말,314,0,소파,거실가구
90,90,가운데,7,0,소파,거실가구
91,91,이음,281,0,소파,거실가구
92,92,거실,23,0,소파,거실가구
93,93,별도,151,0,소파,거실가구
94,94,공간,38,0,소파,거실가구
95,95,효율,416,0,소파,거실가구
96,96,걱정,26,0,소파,거실가구
97,97,무지,127,0,소파,거실가구
98,98,수동,213,0,소파,거실가구
99,99,최악,362,0,소파,거실가구
100,100,업체,248,0,소파,거실가구
101,101,대응,86,0,소파,거실가구
102,102,화가,412,0,소파,거실가구
103,103,핸드폰,406,0,소파,거실가구
104,104,충전,365,0,소파,거실가구
105,105,가죽,8,0,소파,거실가구
106,106,오일,261,0,소파,거실가구
107,107,발라,138,0,소파,거실가구
108,108,깜빡,61,0,소파,거실가구
109,109,그동안,50,0,소파,거실가구
110,110,진작,343,0,소파,거실가구
111,111,후회,418,0,소파,거실가구
112,112,살짝,183,0,소파,거실가구
113,113,느낌,76,0,소파,거실가구
114,114,베이지,150,0,소파,거실가구
115,115,차지,347,0,소파,거실가구
116,116,진짜,344,0,소파,거실가구
117,117,매우,118,0,소파,거실가구
118,118,색깔,190,0,소파,거실가구
119,119,폭신,394,0,소파,거실가구
120,120,끝판,64,0,소파,거실가구
121,121,코로나,372,0,소파,거실가구
122,122,지금,339,0,소파,거실가구
123,123,의자,278,0,소파,거실가구
124,124,허리,407,0,소파,거실가구
125,125,런가,105,0,소파,거실가구
126,126,양쪽,240,0,소파,거실가구
127,127,경우,29,0,소파,거실가구
128,128,정면,315,0,소파,거실가구
129,129,왼쪽,265,0,소파,거실가구
130,130,오른쪽,257,0,소파,거실가구
131,131,구조,44,0,소파,거실가구
132,132,사다리,176,0,소파,거실가구
133,133,필요,396,0,소파,거실가구
134,134,여러,252,0,소파,거실가구
135,135,군데,45,0,소파,거실가구
136,136,보고,154,0,소파,거실가구
137,137,전동,306,0,소파,거실가구
138,138,자동,295,0,소파,거실가구
139,139,후기,417,0,소파,거실가구
140,140,설명,199,0,소파,거실가구
141,141,기분,56,0,소파,거실가구
142,142,시클라,219,0,소파,거실가구
143,143,주변,332,0,소파,거실가구
144,144,지인,341,0,소파,거실가구
145,145,불안,164,0,소파,거실가구
146,146,구성,43,0,소파,거실가구
147,147,수고,211,0,소파,거실가구
148,148,차추촾,348,0,소파,거실가구
149,149,퇖톼,384,0,소파,거실가구
150,150,높이,75,0,소파,거실가구
151,151,고민,31,0,소파,거실가구
152,152,일부러,290,0,소파,거실가구
153,153,아뿔싸,232,0,소파,거실가구
154,154,각도,10,0,소파,거실가구
155,155,가파르네,9,0,소파,거실가구
156,156,기용,58,0,소파,거실가구
157,157,정일,317,0,소파,거실가구
158,158,신청,222,0,소파,거실가구
159,159,중간,337,0,소파,거실가구
160,160,문제,128,0,소파,거실가구
161,161,어쨌거,243,0,소파,거실가구
162,162,정해진,318,0,소파,거실가구
163,163,날짜,67,0,소파,거실가구
164,164,드네,94,0,소파,거실가구
165,165,폭도,393,0,소파,거실가구
166,166,넓이,72,0,소파,거실가구
167,167,원래,274,0,소파,거실가구
168,168,수도,212,0,소파,거실가구
169,169,에어,250,0,소파,거실가구
170,170,레더,106,0,소파,거실가구
171,171,아주,237,0,소파,거실가구
172,172,감촉,16,0,소파,거실가구
173,173,네이비,73,0,소파,거실가구
174,174,홈페이지,411,0,소파,거실가구
175,175,실물,224,0,소파,거실가구
176,176,브라운,167,0,소파,거실가구
177,177,계열,30,0,소파,거실가구
178,178,점점,312,0,소파,거실가구
179,179,오염,260,0,소파,거실가구
180,180,부위,160,0,소파,거실가구
181,181,마감,110,0,소파,거실가구
182,182,디테일,99,0,소파,거실가구
183,183,불량,163,0,소파,거실가구
184,184,오늘,256,0,소파,거실가구
185,185,뚝딱,101,0,소파,거실가구
186,186,무게,122,0,소파,거실가구
187,187,듭니,95,0,소파,거실가구
188,188,달랑,81,0,소파,거실가구
189,189,거립니,22,0,소파,거실가구
190,190,밀리,136,0,소파,거실가구
191,191,기도,55,0,소파,거실가구
192,192,제로원,321,0,소파,거실가구
193,193,간격,11,0,소파,거실가구
194,194,그게,48,0,소파,거실가구
195,195,아래,229,0,소파,거실가구
196,196,처음,354,0,소파,거실가구
197,197,월간,275,0,소파,거실가구
198,198,편별,390,0,소파,거실가구
199,199,비교,169,0,소파,거실가구
200,200,가스,6,0,소파,거실가구
201,201,클리마,380,0,소파,거실가구
202,202,아이보리,234,0,소파,거실가구
203,203,가까이,2,0,소파,거실가구
204,204,상담,184,0,소파,거실가구
205,205,원님,273,0,소파,거실가구
206,206,배달,141,0,소파,거실가구
207,207,다시,78,0,소파,거실가구
208,208,한지,402,0,소파,거실가구
209,209,강추,17,0,소파,거실가구
210,210,하루,399,0,소파,거실가구
211,211,종일,328,0,소파,거실가구
212,212,커서,368,0,소파,거실가구
213,213,아저씨,236,0,소파,거실가구
214,214,전반,307,0,소파,거실가구
215,215,라이닝,104,0,소파,거실가구
216,216,비용,170,0,소파,거실가구
217,217,선호,198,0,소파,거실가구
218,218,기존,59,0,소파,거실가구
219,219,단점,79,0,소파,거실가구
220,220,다리,77,0,소파,거실가구
221,221,뒤쪽,93,0,소파,거실가구
222,222,엉덩이,249,0,소파,거실가구
223,223,아빠,231,0,소파,거실가구
224,224,때문,100,0,소파,거실가구
225,225,대체로,87,0,소파,거실가구
226,226,마찰음,113,0,소파,거실가구
227,227,한가지,400,0,소파,거실가구
228,228,자체,298,0,소파,거실가구
229,229,밀림,137,0,소파,거실가구
230,230,현상,408,0,소파,거실가구
231,231,가량,4,0,소파,거실가구
232,232,고사,32,0,소파,거실가구
233,233,그것,47,0,소파,거실가구
234,234,부모님,158,0,소파,거실가구
235,235,배치,145,0,소파,거실가구
236,236,별로,152,0,소파,거실가구
237,237,소재,207,0,소파,거실가구
238,238,종류,327,0,소파,거실가구
239,239,실제,226,0,소파,거실가구
240,240,촉감,359,0,소파,거실가구
241,241,관리,40,0,소파,거실가구
242,242,매력,117,0,소파,거실가구
243,243,컬러,370,0,소파,거실가구
244,244,갈등,13,0,소파,거실가구
245,245,무난,124,0,소파,거실가구
246,246,아쉬움,233,0,소파,거실가구
247,247,어머님,242,0,소파,거실가구
248,248,선물,195,0,소파,거실가구
249,249,문화인,130,0,소파,거실가구
250,250,아이템,235,0,소파,거실가구
251,251,라면,102,0,소파,거실가구
252,252,대박,84,0,소파,거실가구
253,253,하나로,397,0,소파,거실가구
254,254,가성,5,0,소파,거실가구
255,255,비최,171,0,소파,거실가구
256,256,질도,345,0,소파,거실가구
257,257,초기,358,0,소파,거실가구
258,258,환기,414,0,소파,거실가구
259,259,상체,186,0,소파,거실가구
260,260,베개,149,0,소파,거실가구
261,261,하니,398,0,소파,거실가구
262,262,마누라,111,0,소파,거실가구
263,263,링클,109,0,소파,거실가구
264,264,체중,357,0,소파,거실가구
265,265,절대로,310,0,소파,거실가구
266,266,개월,19,0,소파,거실가구
267,267,아기,228,0,소파,거실가구
268,268,버튼,147,0,소파,거실가구
269,269,장난,302,0,소파,거실가구
270,270,전원,308,0,소파,거실가구
271,271,사람,178,0,소파,거실가구
272,272,사드,177,0,소파,거실가구
273,273,실밥,225,0,소파,거실가구
274,274,댓글,88,0,소파,거실가구
275,275,기대,54,0,소파,거실가구
276,276,와우,263,0,소파,거실가구
277,277,해주시,404,0,소파,거실가구
278,278,연결,253,0,소파,거실가구
279,279,부품,162,0,소파,거실가구
280,280,상태,187,0,소파,거실가구
281,281,교환,41,0,소파,거실가구
282,282,덕분,89,0,소파,거실가구
283,283,보름,155,0,소파,거실가구
284,284,불친절,165,0,소파,거실가구
285,285,자리,296,0,소파,거실가구
286,286,처럼,352,0,소파,거실가구
287,287,뭔가,134,0,소파,거실가구
288,288,균형,46,0,소파,거실가구
289,289,판매,388,0,소파,거실가구
290,290,머드,120,0,소파,거실가구
291,291,자꾸,294,0,소파,거실가구
292,292,사기,175,0,소파,거실가구
293,293,안정감,238,0,소파,거실가구
294,294,벌써,148,0,소파,거실가구
295,295,물량,132,0,소파,거실가구
296,296,부족,161,0,소파,거실가구
297,297,워낙,272,0,소파,거실가구
298,298,인기,285,0,소파,거실가구
299,299,이해,284,0,소파,거실가구
300,300,제거,319,0,소파,거실가구
301,301,우드,271,0,소파,거실가구
302,302,재질,305,0,소파,거실가구
303,303,조만간,325,0,소파,거실가구
304,304,예정,255,0,소파,거실가구
305,305,중이,338,0,소파,거실가구
306,306,정밀,316,0,소파,거실가구
307,307,폭풍,395,0,소파,거실가구
308,308,검색,27,0,소파,거실가구
309,309,고심,34,0,소파,거실가구
310,310,결정,28,0,소파,거실가구
311,311,고생,33,0,소파,거실가구
312,312,체적,356,0,소파,거실가구
313,313,그레이,51,0,소파,거실가구
314,314,두운,92,0,소파,거실가구
315,315,참고,351,0,소파,거실가구
316,316,최대한,361,0,소파,거실가구
317,317,해피,405,0,소파,거실가구
318,318,당일,82,0,소파,거실가구
319,319,오시,259,0,소파,거실가구
320,320,올해,262,0,소파,거실가구
321,321,거중,24,0,소파,거실가구
322,322,색감,189,0,소파,거실가구
323,323,화면,413,0,소파,거실가구
324,324,갈색,14,0,소파,거실가구
325,325,라이너,103,0,소파,거실가구
326,326,티브이,387,0,소파,거실가구
327,327,커피,369,0,소파,거실가구
328,328,디저트,98,0,소파,거실가구
329,329,휴식,419,0,소파,거실가구
330,330,인테리어,288,0,소파,거실가구
331,331,사장,181,0,소파,거실가구
332,332,방법,139,0,소파,거실가구
333,333,가구,1,0,소파,거실가구
334,334,매장,119,0,소파,거실가구
335,335,사고,174,0,소파,거실가구
336,336,평이,392,0,소파,거실가구
337,337,비각,168,0,소파,거실가구
338,338,문제점,129,0,소파,거실가구
339,339,착불,349,0,소파,거실가구
340,340,달라,80,0,소파,거실가구
341,341,육만,277,0,소파,거실가구
342,342,만족도,116,0,소파,거실가구
343,343,신랑,221,0,소파,거실가구
344,344,스툴,216,0,소파,거실가구
345,345,보완,156,0,소파,거실가구
346,346,요약,267,0,소파,거실가구
347,347,신하,223,0,소파,거실가구
348,348,만날,114,0,소파,거실가구
349,349,송해,210,0,소파,거실가구
350,350,주시,333,0,소파,거실가구
351,351,친정,367,0,소파,거실가구
352,352,별장,153,0,소파,거실가구
353,353,려고,107,0,소파,거실가구
354,354,특성,386,0,소파,거실가구
355,355,동생,90,0,소파,거실가구
356,356,꼬맹이,62,0,소파,거실가구
357,357,자주,297,0,소파,거실가구
358,358,처리,353,0,소파,거실가구
359,359,과정,39,0,소파,거실가구
360,360,배송지,144,0,소파,거실가구
361,361,서로,193,0,소파,거실가구
362,362,소통,208,0,소파,거실가구
363,363,컵홀더,371,0,소파,거실가구
364,364,가끔,3,0,소파,거실가구
365,365,붓기,166,0,소파,거실가구
366,366,동작,91,0,소파,거실가구
367,367,소음,206,0,소파,거실가구
368,368,인정,287,0,소파,거실가구
369,369,수준,214,0,소파,거실가구
370,370,엘배,251,0,소파,거실가구
371,371,일찍,293,0,소파,거실가구
372,372,엄마,247,0,소파,거실가구
373,373,이제,282,0,소파,거실가구
374,374,이틀,283,0,소파,거실가구
375,375,거지,25,0,소파,거실가구
376,376,듭니다저,96,0,소파,거실가구
377,377,쓰기,227,0,소파,거실가구
378,378,오매불망,258,0,소파,거실가구
379,379,뻘뻘,172,0,소파,거실가구
380,380,감사,15,0,소파,거실가구
381,381,착석,350,0,소파,거실가구
382,382,좌망,329,0,소파,거실가구
383,383,방석,140,0,소파,거실가구
384,384,무리,125,0,소파,거실가구
385,385,꼽자,63,0,소파,거실가구
386,386,길이,60,0,소파,거실가구
387,387,성인,202,0,소파,거실가구
388,388,남자,69,0,소파,거실가구
389,389,제로,320,0,소파,거실가구
390,390,시스템,218,0,소파,거실가구
391,391,거리,21,0,소파,거실가구
392,392,센티,204,0,소파,거실가구
393,393,서서히,194,0,소파,거실가구
394,394,뿌드득,173,0,소파,거실가구
395,395,장점,304,0,소파,거실가구
396,396,투성이,385,0,소파,거실가구
397,397,주저,335,0,소파,거실가구
398,398,선비,196,0,소파,거실가구
399,399,물기,131,0,소파,거실가구
400,400,얼룩,246,0,소파,거실가구
401,401,고요,35,0,소파,거실가구
402,402,물질,133,0,소파,거실가구
403,403,보임,157,0,소파,거실가구
404,404,이유,280,0,소파,거실가구
405,405,무게중심,123,0,소파,거실가구
406,406,자칫,299,0,소파,거실가구
407,407,잘못,301,0,소파,거실가구
408,408,순간,215,0,소파,거실가구
409,409,무의식,126,0,소파,거실가구
410,410,개사,18,0,소파,거실가구
411,411,크게,375,0,소파,거실가구
412,412,간식,12,0,소파,거실가구
413,413,활용,415,0,소파,거실가구
414,414,테이블,383,0,소파,거실가구
415,415,좌석,330,0,소파,거실가구
416,416,체격,355,0,소파,거실가구
417,417,남성,68,0,소파,거실가구
418,418,해도,403,0,소파,거실가구
419,419,조절,326,0,소파,거실가구
420,420,용도,270,0,소파,거실가구
421,421,최고,360,0,소파,거실가구
